Present         Present Cont    Past            Past Part      
deglaze         deglazing       deglazed        deglazed       
degrade         degrading       degraded        degraded       
degrease        degreasing      degreased       degreased      
dehumanise      dehumanising    dehumanised     dehumanised    
dehumanize      dehumanizing    dehumanized     dehumanized    
dehydrate       dehydrating     dehydrated      dehydrated     
deify           deifying        deified         deified        
deign           deigning        deigned         deigned        
delay           delaying        delayed         delayed        
delegate        delegating      delegated       delegated      
delete          deleting        deleted         deleted        
deliberate      deliberating    deliberated     deliberated    
delight         delighting      delighted       delighted      
delimit         delimiting      delimited       delimited      
delineate       delineating     delineated      delineated     
deliquesce      deliquescing    deliquesced     deliquesced    
deliver         delivering      delivered       delivered      
delouse         delousing       deloused        deloused       
delude          deluding        deluded         deluded        
deluge          deluging        deluged         deluged        
delve           delving         delved          delved         
demand          demanding       demanded        demanded       
demarcate       demarcating     demarcated      demarcated     
demean          demeaning       demeaned        demeaned       
demerge         demerging       demerged        demerged       
demilitarise    demilitarising  demilitarised   demilitarised  
demilitarize    demilitarizing  demilitarized   demilitarized  
demineralise    demineralising  demineralised   demineralised  
demineralize    demineralizing  demineralized   demineralized  
demist          demisting       demisted        demisted       
demo            demoing         demoed          demoed         
demob           demobbing       demobbed        demobbed       
demobilise      demobilising    demobilised     demobilised    
demobilize      demobilizing    demobilized     demobilized    
democratise     democratising   democratised    democratised   
democratize     democratizing   democratized    democratized   
demolish        demolishing     demolished      demolished     
demonise        demonising      demonised       demonised      
demonize        demonizing      demonized       demonized      
demonstrate     demonstrating   demonstrated    demonstrated   
demoralise      demoralising    demoralised     demoralised    
demoralize      demoralizing    demoralized     demoralized    
demote          demoting        demoted         demoted        
demotivate      demotivating    demotivated     demotivated    
demur           demurring       demurred        demurred       
demystify       demystifying    demystified     demystified    
denationalise   denationalising denationalised  denationalised 
denationalize   denationalizing denationalized  denationalized 
denigrate       denigrating     denigrated      denigrated     
denitrify       denitrifying    denitrified     denitrified    
denominate      denominating    denominated     denominated    
denote          denoting        denoted         denoted        
denounce        denouncing      denounced       denounced      
dent            denting         dented          dented         
denude          denuding        denuded         denuded        
deny            denying         denied          denied         
depart          departing       departed        departed       
depend          depending       depended        depended       
depersonalise   depersonalising depersonalised  depersonalised 
depersonalize   depersonalizing depersonalized  depersonalized 
depict          depicting       depicted        depicted       
deplane         deplaning       deplaned        deplaned       
deplete         depleting       depleted        depleted       
deplore         deploring       deplored        deplored       
deploy          deploying       deployed        deployed       
depopulate      depopulating    depopulated     depopulated    
deport          deporting       deported        deported       
depose          deposing        deposed         deposed        
deposit         depositing      deposited       deposited      
deprave         depraving       depraved        depraved       
deprecate       deprecating     deprecated      deprecated     
depreciate      depreciating    depreciated     depreciated    
depress         depressing      depressed       depressed      
depressurise    depressurising  depressurised   depressurised  
depressurize    depressurizing  depressurized   depressurized  
deprive         depriving       deprived        deprived       
depute          deputing        deputed         deputed        
deputise        deputising      deputised       deputised      
deputize        deputizing      deputized       deputized      
deracinate      deracinating    deracinated     deracinated    
derail          derailing       derailed        derailed       
dereference     None            None            None           
deregulate      deregulating    deregulated     deregulated    
deride          deriding        derided         derided        
derive          deriving        derived         derived        
derogate        derogating      derogated       derogated      
descale         descaling       descaled        descaled       
descend         descending      descended       descended      
describe        describing      described       described      
descry          descrying       descried        descried       
desecrate       desecrating     desecrated      desecrated     
desegregate     desegregating   desegregated    desegregated   
deselect        deselecting     deselected      deselected     
desensitise     desensitising   desensitised    desensitised   
desensitize     desensitizing   desensitized    desensitized   
desert          deserting       deserted        deserted       
deserve         deserving       deserved        deserved       
design          designing       designed        designed       
designate       designating     designated      designated     
desire          desiring        desired         desired        
desist          desisting       desisted        desisted       
deskill         deskilling      deskilled       deskilled      
desolate        desolating      desolated       desolated      
despair         despairing      despaired       despaired      
despise         despising       despised        despised       
despoil         despoiling      despoiled       despoiled      
destabilise     destabilising   destabilised    destabilised   
destabilize     destabilizing   destabilized    destabilized   
destock         None            None            None           
destroy         destroying      destroyed       destroyed      
detach          detaching       detached        detached       
detail          detailing       detailed        detailed       
detain          detaining       detained        detained       
detect          detecting       detected        detected       
deter           deterring       deterred        deterred       
deteriorate     deteriorating   deteriorated    deteriorated   
determine       determining     determined      determined     
detest          detesting       detested        detested       
dethrone        dethroning      dethroned       dethroned      
detonate        detonating      detonated       detonated      
detour          detouring       detoured        detoured       
detoxify        detoxifying     detoxified      detoxified     
detract         detracting      detracted       detracted      
detrain         detraining      detrained       detrained      
devalue         devaluing       devalued        devalued       
devastate       devastating     devastated      devastated     
develop         developing      developed       developed      
deviate         deviating       deviated        deviated       
devise          devising        devised         devised        
devoice         devoicing       devoiced        devoiced       
devolve         devolving       devolved        devolved       
devote          devoting        devoted         devoted        
devour          devouring       devoured        devoured       
diagnose        diagnosing      diagnosed       diagnosed      
dial            dialing         dialed          dialed         
dice            dicing          diced           diced          
dicker          dickering       dickered        dickered       
dictate         dictating       dictated        dictated       
diddle          diddling        diddled         diddled        
die             dying           died            died           
diet            dieting         dieted          dieted         
differ          differing       differed        differed       
differentiate   differentiating differentiated  differentiated 
diffract        diffracting     diffracted      diffracted     
diffuse         diffusing       diffused        diffused       
dig             digging         dug             dug            
digest          digesting       digested        digested       
digitalise      digitalising    digitalised     digitalised    
digitalize      digitalizing    digitalized     digitalized    
digitise        digitising      digitised       digitised      
digitize        digitizing      digitized       digitized      
dignify         dignifying      dignified       dignified      
digress         digressing      digressed       digressed      
dilate          dilating        dilated         dilated        
dilute          diluting        diluted         diluted        
diluted         diluting        diluted         diluted        
dim             dimming         dimmed          dimmed         
diminish        diminishing     diminished      diminished     
dimple          dimpling        dimpled         dimpled        
dine            dining          dined           dined          
ding            None            None            None           
dink            dinking         dinked          dinked         
dip             dipping         dipped          dipped         
diphthongise    diphthongising  diphthongised   diphthongised  
diphthongize    diphthongizing  diphthongized   diphthongized  
direct          directing       directed        directed       
dirty           dirtying        dirtied         dirtied        
dis             dissing         dissed          dissed         
disable         disabling       disabled        disabled       
disabuse        disabusing      disabused       disabused      
disadvantage    disadvantaging  disadvantaged   disadvantaged  
disaffiliate    disaffiliating  disaffiliated   disaffiliated  
disafforest     None            None            None           
disagree        disagreeing     disagreed       disagreed      
disallow        disallowing     disallowed      disallowed     
disambiguate    disambiguating  disambiguated   disambiguated  
disappear       disappearing    disappeared     disappeared    
disappoint      disappointing   disappointed    disappointed   
disapprove      disapproving    disapproved     disapproved    
disarm          disarming       disarmed        disarmed       
disarrange      disarranging    disarranged     disarranged    
disassemble     disassembling   disassembled    disassembled   
disassociate    disassociating  disassociated   disassociated  
disavow         disavowing      disavowed       disavowed      
disband         disbanding      disbanded       disbanded      
disbar          disbarring      disbarred       disbarred      
disbelieve      disbelieving    disbelieved     disbelieved    
disburse        disbursing      disbursed       disbursed      
discard         discarding      discarded       discarded      
discern         discerning      discerned       discerned      
discharge       discharging     discharged      discharged     
discipline      disciplining    disciplined     disciplined    
disclaim        disclaiming     disclaimed      disclaimed     
disclose        disclosing      disclosed       disclosed      
discolor        discoloring     discolored      discolored     
discolour       discolouring    discoloured     discoloured    
discomfit       discomfiting    discomfited     discomfited    
discomfort      discomforting   discomforted    discomforted   
discompose      discomposing    discomposed     discomposed    
disconcert      disconcerting   disconcerted    disconcerted   
disconnect      disconnecting   disconnected    disconnected   
discontinue     discontinuing   discontinued    discontinued   
discount        discounting     discounted      discounted     
discourage      discouraging    discouraged     discouraged    
discourse       discoursing     discoursed      discoursed     
discover        discovering     discovered      discovered     
discredit       discrediting    discredited     discredited    
discriminate    discriminating  discriminated   discriminated  
discuss         discussing      discussed       discussed      
disdain         disdaining      disdained       disdained      
disembark       disembarking    disembarked     disembarked    
disembowel      disemboweling   disemboweled    disemboweled   
disenfranchise  disenfranchising disenfranchised disenfranchised
disengage       disengaging     disengaged      disengaged     
disentangle     disentangling   disentangled    disentangled   
disestablish    disestablishing disestablished  disestablished 
disfigure       disfiguring     disfigured      disfigured     
disgorge        disgorging      disgorged       disgorged      
disgrace        disgracing      disgraced       disgraced      
disguise        disguising      disguised       disguised      
disgust         disgusting      disgusted       disgusted      
dish            dishing         dished          dished         
dishearten      disheartening   disheartened    disheartened   
dishonor        dishonoring     dishonored      dishonored     
dishonour       dishonouring    dishonoured     dishonoured    
disillusion     disillusioning  disillusioned   disillusioned  
disincentivise  None            None            None           
disincentivize  None            None            None           
disinfect       disinfecting    disinfected     disinfected    
disinherit      disinheriting   disinherited    disinherited   
disinhibit      disinhibiting   disinhibited    disinhibited   
disintegrate    disintegrating  disintegrated   disintegrated  
disinter        disinterring    disinterred     disinterred    
disinvest       disinvesting    disinvested     disinvested    
dislike         disliking       disliked        disliked       
dislocate       dislocating     dislocated      dislocated     
dislodge        dislodging      dislodged       dislodged      
dismantle       dismantling     dismantled      dismantled     
dismay          dismaying       dismayed        dismayed       
dismember       dismembering    dismembered     dismembered    
dismiss         dismissing      dismissed       dismissed      
dismount        dismounting     dismounted      dismounted     
disobey         disobeying      disobeyed       disobeyed      
disorient       disorienting    disoriented     disoriented    
disorientate    disorientating  disorientated   disorientated  
disown          disowning       disowned        disowned       
disparage       disparaging     disparaged      disparaged     
dispatch        dispatching     dispatched      dispatched     
dispel          dispelling      dispelled       dispelled      
dispense        dispensing      dispensed       dispensed      
disperse        dispersing      dispersed       dispersed      
displace        displacing      displaced       displaced      
display         displaying      displayed       displayed      
displease       displeasing     displeased      displeased     
disport         disporting      disported       disported      
dispose         disposing       disposed        disposed       
dispossess      dispossessing   dispossessed    dispossessed   
disprove        disproving      disproved       disproved      
dispute         disputing       disputed        disputed       
disqualify      disqualifying   disqualified    disqualified   
disregard       disregarding    disregarded     disregarded    
disrespect      disrespecting   disrespected    disrespected   
disrobe         disrobing       disrobed        disrobed       
disrupt         disrupting      disrupted       disrupted      
dissect         dissecting      dissected       dissected      
dissemble       dissembling     dissembled      dissembled     
disseminate     disseminating   disseminated    disseminated   
dissent         dissenting      dissented       dissented      
dissimulate     dissimulating   dissimulated    dissimulated   
dissipate       dissipating     dissipated      dissipated     
dissociate      dissociating    dissociated     dissociated    
dissolve        dissolving      dissolved       dissolved      
dissuade        dissuading      dissuaded       dissuaded      
distance        distancing      distanced       distanced      
distend         distending      distended       distended      
distil          distilling      distilled       distilled      
distill         distilling      distilled       distilled      
distinguish     distinguishing  distinguished   distinguished  
distort         distorting      distorted       distorted      
distract        distracting     distracted      distracted     
distress        distressing     distressed      distressed     
distribute      distributing    distributed     distributed    
distrust        distrusting     distrusted      distrusted     
disturb         disturbing      disturbed       disturbed      
disunite        disuniting      disunited       disunited      
ditch           ditching        ditched         ditched        
dither          dithering       dithered        dithered       
dive            diving          dived           dived          
diverge         diverging       diverged        diverged       
diversify       diversifying    diversified     diversified    
divert          diverting       diverted        diverted       
divest          divesting       divested        divested       
divide          dividing        divided         divided        
divine          divining        divined         divined        
divorce         divorcing       divorced        divorced       
divulge         divulging       divulged        divulged       
divvy           divvying        divvied         divvied        
do              doing           did             done           
dob             None            None            None           
dock            docking         docked          docked         
doctor          doctoring       doctored        doctored       
document        documenting     documented      documented     
dodge           dodging         dodged          dodged         
doff            doffing         doffed          doffed         
dog             dogging         dogged          dogged         
dole            doling          doled           doled          
doll            dolling         dolled          dolled         
dollarise       None            None            None           
dollarize       None            None            None           
domesticate     domesticating   domesticated    domesticated   
dominate        dominating      dominated       dominated      
don             donning         donned          donned         
donate          donating        donated         donated        
doodle          doodling        doodled         doodled        
doom            dooming         doomed          doomed         
doorstep        doorstepping    doorstepped     doorstepped    
dop             dopping         dopped          dopped         
dope            doping          doped           doped          
dose            dosing          dosed           dosed          
doss            dossing         dossed          dossed         
dot             dotting         doted           dotted         
dote            doting          doted           doted          
double          doubling        doubled         doubled        
doubt           doubting        doubted         doubted        
douche          douching        douched         douched        
douse           dousing         doused          doused         
dovetail        dovetailing     dovetailed      dovetailed     
down            downing         downed          downed         
downchange      None            None            None           
downgrade       downgrading     downgraded      downgraded     
downlink        downlinking     downlinked      downlinked     
download        downloading     downloaded      downloaded     
downplay        downplaying     downplayed      downplayed     
downshift       downshifting    downshifted     downshifted    
downsize        downsizing      downsized       downsized      
dowse           dowsing         dowsed          dowsed         
doze            dozing          dozed           dozed          
draft           drafting        drafted         drafted        
drag            dragging        dragged         dragged        
dragoon         dragooning      dragooned       dragooned      
drain           draining        drained         drained        
dramatise       dramatising     dramatised      dramatised     
dramatize       dramatizing     dramatized      dramatized     
drape           draping         draped          draped         
draught         draughting      draughted       draughted      
draw            drawing         drew            drawn          
drawl           drawling        drawled         drawled        
dread           dreading        dreaded         dreaded        
dream           dreaming        dreamed         dreamed        
dredge          dredging        dredged         dredged        
drench          drenching       drenched        drenched       
dress           dressing        dressed         dressed        
dribble         dribbling       dribbled        dribbled       
drift           drifting        drifted         drifted        
drill           drilling        drilled         drilled        
drink           drinking        drank           drunk          
drip            dripping        dripped         dripped        
drive           driving         drove           driven         
drivel          driveling       driveled        driveled       
drizzle         drizzling       drizzled        drizzled       
drone           droning         droned          droned         
drool           drooling        drooled         drooled        
droop           drooping        drooped         drooped        
drop            dropping        dropped         dropped        
drown           drowning        drowned         drowned        
drowse          drowsing        drowsed         drowsed        
drug            drugging        drugged         drugged        
drum            drumming        drummed         drummed        
dry             drying          dried           dried          
dub             dubbing         dubbed          dubbed         
duck            ducking         ducked          ducked         
duckie          None            None            None           
ducks           ducking         ducked          ducked         
duel            dueling         dueled          dueled         
duff            duffing         duffed          duffed         
dull            dulling         dulled          dulled         
dumb            dumbing         dumbed          dumbed         
dumbfound       dumbfounding    dumbfounded     dumbfounded    
dummy           dummying        dummied         dummied        
dump            dumping         dumped          dumped         
dunk            dunking         dunked          dunked         
dunt            dunting         dunted          dunted         
dupe            duping          duped           duped          
duplicate       duplicating     duplicated      duplicated     
dust            dusting         dusted          dusted         
dwarf           dwarfing        dwarfed         dwarfed        
dwell           dwelling        dwell           dwelt          
dwindle         dwindling       dwindled        dwindled       
dye             dyeing          dyed            dyed           
dynamite        dynamiting      dynamited       dynamited      
earmark         earmarking      earmarked       earmarked      
earn            earning         earned          earned         
earth           earthing        earthed         earthed        
ease            easing          eased           eased          
eat             eating          ate             eaten          
eavesdrop       eavesdropping   eavesdropped    eavesdropped   
ebb             ebbing          ebbed           ebbed          
echo            echoing         echoed          echoed         
eclipse         eclipsing       eclipsed        eclipsed       
economise       economising     economised      economised     
economize       economizing     economized      economized     
eddy            eddying         eddied          eddied         
edge            edging          edged           edged          
edify           edifying        edified         edified        
edit            editing         edited          edited         
editorialise    editorialising  editorialised   editorialised  
editorialize    editorializing  editorialized   editorialized  
educate         educating       educated        educated       
eff             effing          effed           effed          
efface          effacing        effaced         effaced        
effect          effecting       effected        effected       
effectuate      effectuating    effectuated     effectuated    
egg             egging          egged           egged          
ejaculate       ejaculating     ejaculated      ejaculated     
eject           ejecting        ejected         ejected        
eke             eking           eked            eked           
elaborate       elaborating     elaborated      elaborated     
elapse          elapsing        elapsed         elapsed        
elbow           elbowing        elbowed         elbowed        
elect           electing        elected         elected        
electrify       electrifying    electrified     electrified    
electrocute     electrocuting   electrocuted    electrocuted   
electroplate    electroplating  electroplated   electroplated  
elevate         elevating       elevated        elevated       
elicit          eliciting       elicited        elicited       
elide           eliding         elided          elided         
eliminate       eliminating     eliminated      eliminated     
elongate        elongating      elongated       elongated      
elope           eloping         eloped          eloped         
elucidate       elucidating     elucidated      elucidated     
elude           eluding         eluded          eluded         
email           emailing        emailed         emailed        
emanate         emanating       emanated        emanated       
emancipate      emancipating    emancipated     emancipated    
emasculate      emasculating    emasculated     emasculated    
embalm          embalming       embalmed        embalmed       
embargo         embargoing      embargoed       embargoed      
embark          embarking       embarked        embarked       
embarrass       embarrassing    embarrassed     embarrassed    
embed           embedding       embedded        embedded       
embellish       embellishing    embellished     embellished    
embezzle        embezzling      embezzled       embezzled      
embitter        embittering     embittered      embittered     
emblazon        emblazoning     emblazoned      emblazoned     
embody          embodying       embodied        embodied       
embolden        emboldening     emboldened      emboldened     
emboss          embossing       embossed        embossed       
embrace         embracing       embraced        embraced       
embroider       embroidering    embroidered     embroidered    
embroil         embroiling      embroiled       embroiled      
emcee           emceeing        emceed          emceed         
emend           emending        emended         emended        
emerge          emerging        emerged         emerged        
emigrate        emigrating      emigrated       emigrated      
emit            emitting        emitted         emitted        
emote           emoting         emoted          emoted         
empathise       empathising     empathised      empathised     
empathize       empathizing     empathized      empathized     
emphasise       emphasising     emphasised      emphasised     
emphasize       emphasizing     emphasized      emphasized     
employ          employing       employed        employed       
empower         empowering      empowered       empowered      
empty           emptying        emptied         emptied        
emulate         emulating       emulated        emulated       
emulsify        emulsifying     emulsified      emulsified     
enable          enabling        enabled         enabled        
enact           enacting        enacted         enacted        
encamp          encamping       encamped        encamped       
encapsulate     encapsulating   encapsulated    encapsulated   
encase          encasing        encased         encased        
encash          encashing       encashed        encashed       
enchant         enchanting      enchanted       enchanted      
encircle        encircling      encircled       encircled      
enclose         enclosing       enclosed        enclosed       
encode          encoding        encoded         encoded        
encompass       encompassing    encompassed     encompassed    
encounter       encountering    encountered     encountered    
encourage       encouraging     encouraged      encouraged     
encroach        encroaching     encroached      encroached     
encrypt         encrypting      encrypted       encrypted      
encumber        encumbering     encumbered      encumbered     
end             ending          ended           ended          
endanger        endangering     endangered      endangered     
endear          endearing       endeared        endeared       
endeavor        endeavoring     endeavored      endeavored     
endeavour       endeavouring    endeavoured     endeavoured    
endorse         endorsing       endorsed        endorsed       
endow           endowing        endowed         endowed        
endure          enduring        endured         endured        
energise        energising      energised       energised      
energize        energizing      energized       energized      
enervate        enervating      enervated       enervated      
enfeeble        enfeebling      enfeebled       enfeebled      
enfold          enfolding       enfolded        enfolded       
enforce         enforcing       enforced        enforced       
enfranchise     enfranchising   enfranchised    enfranchised   
engage          engaging        engaged         engaged        
engender        engendering     engendered      engendered     
engineer        engineering     engineered      engineered     
engorge         engorging       engorged        engorged       
engrave         engraving       engraved        engraved       
engross         engrossing      engrossed       engrossed      
engulf          engulfing       engulfed        engulfed       
enhance         enhancing       enhanced        enhanced       
enjoin          enjoining       enjoined        enjoined       
enjoy           enjoying        enjoyed         enjoyed        
enlarge         enlarging       enlarged        enlarged       
enlighten       enlightening    enlightened     enlightened    
enlist          enlisting       enlisted        enlisted       
enliven         enlivening      enlivened       enlivened      
enmesh          enmeshing       enmeshed        enmeshed       
ennoble         ennobling       ennobled        ennobled       
enquire         enquiring       enquired        enquired       
enrage          enraging        enraged         enraged        
enrapture       enrapturing     enraptured      enraptured     
enrich          enriching       enriched        enriched       
enrol           enrolling       enrolled        enrolled       
enroll          enrolling       enrolled        enrolled       
ensconce        ensconcing      ensconced       ensconced      
enshrine        enshrining      enshrined       enshrined      
enshroud        enshrouding     enshrouded      enshrouded     
enslave         enslaving       enslaved        enslaved       
ensnare         ensnaring       ensnared        ensnared       
ensue           ensuing         ensued          ensued         
ensure          ensuring        ensured         ensured        
entail          entailing       entailed        entailed       
entangle        entangling      entangled       entangled      
enter           entering        entered         entered        
entertain       entertaining    entertained     entertained    
enthral         enthralling     enthralled      enthralled     
enthrall        enthralling     enthralled      enthralled     
enthrone        enthroning      enthroned       enthroned      
enthuse         enthusing       enthused        enthused       
entice          enticing        enticed         enticed        
entitle         entitling       entitled        entitled       
entomb          entombing       entombed        entombed       
entrance        entrancing      entranced       entranced      
entrap          entrapping      entrapped       entrapped      
entreat         entreating      entreated       entreated      
entrench        entrenching     entrenched      entrenched     
entrust         entrusting      entrusted       entrusted      
entwine         entwining       entwined        entwined       
enumerate       enumerating     enumerated      enumerated     
enunciate       enunciating     enunciated      enunciated     
envelop         enveloping      enveloped       enveloped      
envisage        envisaging      envisaged       envisaged      
envision        envisioning     envisioned      envisioned     
envy            envying         envied          envied         
epitomise       epitomising     epitomised      epitomised     
epitomize       epitomizing     epitomized      epitomized     
equal           equaling        equalled        equalled       
equalise        equalising      equalised       equalised      
equalize        equalizing      equalized       equalized      
equate          equating        equated         equated        
equip           equipping       equipped        equipped       
equivocate      equivocating    equivocated     equivocated    
eradicate       eradicating     eradicated      eradicated     
erase           erasing         erased          erased         
erect           erecting        erected         erected        
erode           eroding         eroded          eroded         
err             erring          erred           erred          
erupt           erupting        erupted         erupted        
escalate        escalating      escalated       escalated      
escape          escaping        escaped         escaped        
eschew          eschewing       eschewed        eschewed       
escort          escorting       escorted        escorted       
espouse         espousing       espoused        espoused       
espy            espying         espied          espied         
essay           essaying        essayed         essayed        
establish       establishing    established     established    
esteem          esteeming       esteemed        esteemed       
estimate        estimating      estimated       estimated      
etch            etching         etched          etched         
eulogise        eulogising      eulogised       eulogised      
eulogize        eulogizing      eulogized       eulogized      
euthanise       None            None            None           
euthanize       euthanizing     euthanized      euthanized     
evacuate        evacuating      evacuated       evacuated      
evade           evading         evaded          evaded         
evaluate        evaluating      evaluated       evaluated      
evangelise      evangelising    evangelised     evangelised    
evangelize      evangelizing    evangelized     evangelized    
evaporate       evaporating     evaporated      evaporated     
even            evening         evened          evened         
eventuate       eventuating     eventuated      eventuated     
evict           evicting        evicted         evicted        
evidence        evidencing      evidenced       evidenced      
evince          evincing        evinced         evinced        
eviscerate      eviscerating    eviscerated     eviscerated    
evoke           evoking         evoked          evoked         
evolve          evolving        evolved         evolved        
exacerbate      exacerbating    exacerbated     exacerbated    
exact           exacting        exacted         exacted        
exaggerate      exaggerating    exaggerated     exaggerated    
exalt           exalting        exalted         exalted        
examine         examining       examined        examined       
exasperate      exasperating    exasperated     exasperated    
excavate        excavating      excavated       excavated      
exceed          exceeding       exceeded        exceeded       
excel           excelling       excelled        excelled       
except          excepting       excepted        excepted       
excerpt         excerpting      excerpted       excerpted      
exchange        exchanging      exchanged       exchanged      
excise          excising        excised         excised        
excite          exciting        excited         excited        
exclaim         exclaiming      exclaimed       exclaimed      
exclude         excluding       excluded        excluded       
excommunicate   excommunicating excommunicated  excommunicated 
excoriate       excoriating     excoriated      excoriated     
excrete         excreting       excreted        excreted       
exculpate       exculpating     exculpated      exculpated     
excuse          excusing        excused         excused        
execute         executing       executed        executed       
exemplify       exemplifying    exemplified     exemplified    
exempt          exempting       exempted        exempted       
exercise        exercising      exercised       exercised      
exert           exerting        exerted         exerted        
exeunt          None            None            None           
exfoliate       exfoliating     exfoliated      exfoliated     
exhale          exhaling        exhaled         exhaled        
exhaust         exhausting      exhausted       exhausted      
exhibit         exhibiting      exhibited       exhibited      
exhilarate      exhilarating    exhilarated     exhilarated    
exhort          exhorting       exhorted        exhorted       
exhume          exhuming        exhumed         exhumed        
exile           exiling         exiled          exiled         
exist           existing        existed         existed        
exit            exiting         exited          exited         
exonerate       exonerating     exonerated      exonerated     
exorcise        exorcising      exorcised       exorcised      
exorcize        exorcizing      exorcized       exorcized      
expand          expanding       expanded        expanded       
expatiate       expatiating     expatiated      expatiated     
expect          expecting       expected        expected       
expectorate     expectorating   expectorated    expectorated   
expedite        expediting      expedited       expedited      
expel           expelling       expelled        expelled       
expend          expending       expended        expended       
experience      experiencing    experienced     experienced    
experiment      experimenting   experimented    experimented   
expiate         expiating       expiated        expiated       
expire          expiring        expired         expired        
explain         explaining      explained       explained      
explicate       explicating     explicated      explicated     
explode         exploding       exploded        exploded       
exploit         exploiting      exploited       exploited      
explore         exploring       explored        explored       
export          exporting       exported        exported       
expose          exposing        exposed         exposed        
expostulate     expostulating   expostulated    expostulated   
expound         expounding      expounded       expounded      
express         expressing      expressed       expressed      
expropriate     expropriating   expropriated    expropriated   
expunge         expunging       expunged        expunged       
expurgate       expurgating     expurgated      expurgated     
extemporise     extemporising   extemporised    extemporised   
extemporize     extemporizing   extemporized    extemporized   
extend          extending       extended        extended       
exterminate     exterminating   exterminated    exterminated   
externalise     externalising   externalised    externalised   
externalize     externalizing   externalized    externalized   
extinguish      extinguishing   extinguished    extinguished   
extirpate       extirpating     extirpated      extirpated     
extol           extolling       extolled        extolled       
extort          extorting       extorted        extorted       
extract         extracting      extracted       extracted      
extradite       extraditing     extradited      extradited     
extrapolate     extrapolating   extrapolated    extrapolated   
extricate       extricating     extricated      extricated     
extrude         extruding       extruded        extruded       
exude           exuding         exuded          exuded         
exult           exulting        exulted         exulted        
eye             eyeing          eyed            eyed           
eyeball         eyeballing      eyeballed       eyeballed      
eyeglasses      None            None            None           
fabricate       fabricating     fabricated      fabricated     
face            facing          faced           faced          
facilitate      facilitating    facilitated     facilitated    
factor          factoring       factored        factored       
factorise       factorising     factorised      factorised     
factorize       factorizing     factorized      factorized     
fade            fading          faded           faded          
faff            faffing         faffed          faffed         
fail            failing         failed          failed         
faint           fainting        fainted         fainted        
fake            faking          faked           faked          
fall            falling         fell            fallen         
falsify         falsifying      falsified       falsified      
falter          faltering       faltered        faltered       
familiarise     familiarising   familiarised    familiarised   
familiarize     familiarizing   familiarized    familiarized   
fan             fanning         fanned          fanned         
fancy           fancying        fancied         fancied        
fantasise       fantasising     fantasised      fantasised     
fantasize       fantasizing     fantasized      fantasized     
fare            faring          fared           fared          
farewell        farewelling     farewelled      farewelled     
farm            farming         farmed          farmed         
farrow          farrowing       farrowed        farrowed       
fart            farting         farted          farted         
fascinate       fascinating     fascinated      fascinated     
fashion         fashioning      fashioned       fashioned      
fast            fasting         fasted          fasted         
fasten          fastening       fastened        fastened       
